 7.5197

    7.3126

    7.7899

    7.3765

    7.9345

    7.4955

    7.6261

    7.5358

    7.7311

    7.6261

    7.8544

Training Started
Training on single GPU.
|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|        15350 |        15350 |       236.08 |       1.5674 |       10.00% |       0.0100 |
|        15400 |        15400 |       236.84 |       1.6401 |       10.00% |       0.0100 |
|        15450 |        15450 |       237.60 |       1.3606 |       20.00% |       0.0100 |
|        15500 |        15500 |       238.34 |       1.3922 |       20.00% |       0.0100 |
|        15550 |        15550 |       239.10 |       1.3803 |       20.00% |       0.0100 |
|        15600 |        15600 |       239.86 |       1.3984 |       10.00% |       0.0100 |
|        15650 |        15650 |       240.61 |       1.2606 |       60.00% |       0.0100 |
|        15700 |        15700 |       241.37 |       1.7184 |       10.00% |       0.0100 |
|        15750 |        15750 |       242.13 |       1.1908 |       60.00% |       0.0100 |
|        15800 |        15800 |       242.88 |       1.9083 |       10.00% |       0.0100 |
|        15850 |        15850 |       243.64 |       1.7410 |       10.00% |       0.0100 |
|        15900 |        15900 |       244.39 |       1.2502 |       70.00% |       0.0100 |
|        15950 |        15950 |       245.14 |       1.4504 |       10.00% |       0.0100 |
|        16000 |        16000 |       245.89 |       1.1995 |       80.00% |       0.0100 |
|        16050 |        16050 |       246.65 |       1.3475 |       20.00% |       0.0100 |
|        16100 |        16100 |       247.41 |       1.5038 |       20.00% |       0.0100 |
|        16150 |        16150 |       248.17 |       1.6181 |       20.00% |       0.0100 |
|        16200 |        16200 |       248.92 |       1.6267 |       20.00% |       0.0100 |
|        16250 |        16250 |       249.68 |       1.3028 |       30.00% |       0.0100 |
|        16300 |        16300 |       250.43 |       1.1551 |       90.00% |       0.0100 |
|        16350 |        16350 |       251.18 |       1.1504 |       70.00% |       0.0100 |
|        16400 |        16400 |       251.93 |       1.1474 |       70.00% |       0.0100 |
|        16450 |        16450 |       252.69 |       1.2663 |       30.00% |       0.0100 |
|        16500 |        16500 |       253.45 |       1.3575 |       20.00% |       0.0100 |
|        16550 |        16550 |       254.20 |       1.2125 |       60.00% |       0.0100 |
|        16600 |        16600 |       254.95 |       1.1419 |       90.00% |       0.0100 |
|        16650 |        16650 |       255.71 |       1.1372 |       80.00% |       0.0100 |
|        16700 |        16700 |       256.46 |       2.3016 |       10.00% |       0.0100 |
|        16750 |        16750 |       257.22 |       1.2344 |       30.00% |       0.0100 |
|        16800 |        16800 |       257.97 |       1.1837 |       60.00% |       0.0100 |
|        16850 |        16850 |       258.73 |       1.1623 |       70.00% |       0.0100 |
|        16900 |        16900 |       259.48 |       1.1266 |       90.00% |       0.0100 |
|        16950 |        16950 |       260.24 |       1.4639 |       10.00% |       0.0100 |
|        17000 |        17000 |       260.99 |       2.0228 |       10.00% |       0.0100 |
|        17050 |        17050 |       261.74 |       1.1218 |       70.00% |       0.0100 |
|        17100 |        17100 |       262.50 |       2.4275 |       10.00% |       0.0100 |
|        17150 |        17150 |       263.25 |       1.1851 |       60.00% |       0.0100 |
|        17200 |        17200 |       264.01 |       1.1676 |       80.00% |       0.0100 |
